16273 12
 0 -75 -1.55143e-07 9.79023e-05 0 0 3.2503e-05 6.53993e-05 -1.2579e-07 -4.76218e-12 -1.25785e-07 -7.25572e-05
 0.004 -75 -1.55143e-07 9.79023e-05 -7.91131e-06 0 3.2503e-05 6.53993e-05 -1.2579e-07 -4.76218e-12 -1.25785e-07 -7.25572e-05
 0.008 -75 -1.55143e-07 9.7902e-05 2.40004e-07 -9.49357e-10 3.25029e-05 6.53991e-05 -1.2579e-07 -4.76218e-12 -1.25785e-07 -7.25573e-05
 0.012 -75 -1.55143e-07 9.7902e-05 4.86919e-06 -9.20557e-10 3.25029e-05 6.53991e-05 -1.2579e-07 -4.76218e-12 -1.25785e-07 -7.25573e-05
 0.016 -75 -1.55143e-07 9.79022e-05 7.87681e-06 -3.36254e-10 3.2503e-05 6.53992e-05 -1.2579e-07 -4.76217e-12 -1.25785e-07 -7.25572e-05
 0.02 -74.9999 -1.55143e-07 9.79026e-05 1.0031e-05 6.08964e-10 3.25032e-05 6.53994e-05 -1.2579e-07 -4.76217e-12 -1.25785e-07 -7.25571e-05
 0.024 -74.9999 -1.55143e-07 9.7903e-05 1.16881e-05 1.81269e-09 3.25033e-05 6.53997e-05 -1.2579e-07 -4.76217e-12 -1.25785e-07 -7.2557e-05
 0.028 -74.9998 -1.55144e-07 9.79035e-05 1.30318e-05 3.21525e-09 3.25035e-05 6.54e-05 -1.2579e-07 -4.76216e-12 -1.25785e-07 -7.25569e-05
 0.032 -74.9998 -1.55145e-07 9.79041e-05 1.41654e-05 4.77907e-09 3.25037e-05 6.54003e-05 -1.2579e-07 -4.76216e-12 -1.25785e-07 -7.25568e-05
 0.036 -74.9997 -1.55146e-07 9.79047e-05 1.51501e-05 6.47892e-09 3.2504e-05 6.54007e-05 -1.25789e-07 -4.76216e-12 -1.25785e-07 -7.25567e-05
 0.04 -74.9997 -1.55147e-07 9.79054e-05 1.60247e-05 8.29693e-09 3.25042e-05 6.54011e-05 -1.25789e-07 -4.76215e-12 -1.25785e-07 -7.25565e-05
 0.044 -74.9996 -1.55149e-07 9.79061e-05 1.68145e-05 1.02199e-08 3.25045e-05 6.54015e-05 -1.25789e-07 -4.76215e-12 -1.25784e-07 -7.25564e-05
 0.048 -74.9995 -1.55151e-07 9.79068e-05 1.7537e-05 1.22376e-08 3.25048e-05 6.5402e-05 -1.25789e-07 -4.76215e-12 -1.25784e-07 -7.25562e-05
 0.052 -74.9994 -1.55153e-07 9.79076e-05 1.82046e-05 1.43421e-08 3.25051e-05 6.54025e-05 -1.25789e-07 -4.76215e-12 -1.25784e-07 -7.2556e-05
 0.056 -74.9994 -1.55155e-07 9.79084e-05 1.88262e-05 1.65266e-08 3.25055e-05 6.54029e-05 -1.25789e-07 -4.76215e-12 -1.25784e-07 -7.25559e-05
 0.06 -74.9993 -1.55158e-07 9.79093e-05 1.94086e-05 1.87858e-08 3.25058e-05 6.54034e-05 -1.25789e-07 -4.76216e-12 -1.25784e-07 -7.25557e-05
 0.064 -74.9992 -1.55161e-07 9.79101e-05 1.9957e-05 2.11148e-08 3.25062e-05 6.5404e-05 -1.25789e-07 -4.76216e-12 -1.25784e-07 -7.25555e-05
 0.068 -74.9991 -1.55164e-07 9.7911e-05 2.04755e-05 2.35096e-08 3.25065e-05 6.54045e-05 -1.25788e-07 -4.76216e-12 -1.25784e-07 -7.25553e-05
 0.072 -74.9991 -1.55167e-07 9.7912e-05 2.09675e-05 2.59667e-08 3.25069e-05 6.54051e-05 -1.25788e-07 -4.76216e-12 -1.25784e-07 -7.25551e-05
 0.076 -74.999 -1.55171e-07 9.7913e-05 2.14357e-05 2.84828e-08 3.25073e-05 6.54056e-05 -1.25788e-07 -4.76217e-12 -1.25783e-07 -7.25549e-05
 0.08 -74.9989 -1.55175e-07 9.79139e-05 2.18822e-05 3.10551e-08 3.25077e-05 6.54062e-05 -1.25788e-07 -4.76218e-12 -1.25783e-07 -7.25547e-05
 0.084 -74.9988 -1.55179e-07 9.7915e-05 2.2309e-05 3.36809e-08 3.25082e-05 6.54068e-05 -1.25788e-07 -4.76218e-12 -1.25783e-07 -7.25545e-05
 0.088 -74.9987 -1.55183e-07 9.7916e-05 2.27177e-05 3.6358e-08 3.25086e-05 6.54074e-05 -1.25788e-07 -4.76219e-12 -1.25783e-07 -7.25543e-05
 0.092 -74.9986 -1.55188e-07 9.79171e-05 2.31096e-05 3.90841e-08 3.25091e-05 6.5408e-05 -1.25788e-07 -4.7622e-12 -1.25783e-07 -7.2554e-05
 0.096 -74.9985 -1.55192e-07 9.79182e-05 2.34861e-05 4.18573e-08 3.25095e-05 6.54087e-05 -1.25788e-07 -4.76221e-12 -1.25783e-07 -7.25538e-05
 0.1 -74.9984 -1.55197e-07 9.79193e-05 2.38482e-05 4.46756e-08 3.251e-05 6.54093e-05 -1.25788e-07 -4.76222e-12 -1.25783e-07 -7.25536e-05
 0.104 -74.9983 -1.55202e-07 9.79204e-05 2.41968e-05 4.75374e-08 3.25105e-05 6.541e-05 -1.25787e-07 -4.76223e-12 -1.25783e-07 -7.25534e-05
 0.108 -74.9982 -1.55208e-07 9.79216e-05 2.45328e-05 5.0441e-08 3.2511e-05 6.54106e-05 -1.25787e-07 -4.76224e-12 -1.25783e-07 -7.25531e-05
 0.112 -74.9981 -1.55213e-07 9.79228e-05 2.4857e-05 5.3385e-08 3.25115e-05 6.54113e-05 -1.25787e-07 -4.76225e-12 -1.25782e-07 -7.25529e-05
