16273 10
 0 -75 -2.01047e-09 2.80885e-06 0 0 -2.01047e-09 2.48159e-06 3.27261e-07 -0.000543247
 0.004 -74.9989 -2.01047e-09 2.80885e-06 0.000541906 0 -2.01047e-09 2.48159e-06 3.27261e-07 -0.000543247
 0.008 -74.9978 -2.01054e-09 2.80916e-06 0.000542774 3.25144e-08 -2.01054e-09 2.48186e-06 3.27297e-07 -0.000543228
 0.012 -74.9967 -2.01068e-09 2.80947e-06 0.000543177 6.50808e-08 -2.01068e-09 2.48213e-06 3.27333e-07 -0.000543208
 0.016 -74.9957 -2.0109e-09 2.80978e-06 0.000543219 9.76715e-08 -2.0109e-09 2.48241e-06 3.27368e-07 -0.000543188
 0.02 -74.9946 -2.01119e-09 2.81009e-06 0.00054298 1.30265e-07 -2.01119e-09 2.48268e-06 3.27404e-07 -0.000543169
 0.024 -74.9935 -2.01153e-09 2.8104e-06 0.000542523 1.62843e-07 -2.01153e-09 2.48296e-06 3.2744e-07 -0.000543149
 0.028 -74.9924 -2.01193e-09 2.81071e-06 0.000541898 1.95395e-07 -2.01193e-09 2.48324e-06 3.27477e-07 -0.000543129
 0.032 -74.9913 -2.01239e-09 2.81103e-06 0.000541144 2.27909e-07 -2.01239e-09 2.48352e-06 3.27513e-07 -0.00054311
 0.036 -74.9902 -2.01289e-09 2.81135e-06 0.000540291 2.60377e-07 -2.01289e-09 2.4838e-06 3.27549e-07 -0.00054309
 0.04 -74.9892 -2.01343e-09 2.81166e-06 0.000539363 2.92795e-07 -2.01343e-09 2.48408e-06 3.27585e-07 -0.00054307
 0.044 -74.9881 -2.01402e-09 2.81198e-06 0.000538377 3.25157e-07 -2.01402e-09 2.48436e-06 3.27622e-07 -0.000543051
 0.048 -74.987 -2.01465e-09 2.8123e-06 0.000537351 3.57459e-07 -2.01465e-09 2.48464e-06 3.27658e-07 -0.000543031
 0.052 -74.9859 -2.0153e-09 2.81262e-06 0.000536293 3.897e-07 -2.0153e-09 2.48493e-06 3.27695e-07 -0.000543012
 0.056 -74.9849 -2.01599e-09 2.81294e-06 0.000535215 4.21878e-07 -2.01599e-09 2.48521e-06 3.27731e-07 -0.000542992
 0.06 -74.9838 -2.01671e-09 2.81327e-06 0.000534123 4.53991e-07 -2.01671e-09 2.4855e-06 3.27767e-07 -0.000542973
 0.064 -74.9827 -2.01746e-09 2.81359e-06 0.000533024 4.86038e-07 -2.01746e-09 2.48579e-06 3.27804e-07 -0.000542953
 0.068 -74.9817 -2.01823e-09 2.81391e-06 0.00053192 5.1802e-07 -2.01823e-09 2.48607e-06 3.27841e-07 -0.000542934
 0.072 -74.9806 -2.01902e-09 2.81424e-06 0.000530817 5.49935e-07 -2.01902e-09 2.48636e-06 3.27877e-07 -0.000542915
 0.076 -74.9795 -2.01983e-09 2.81456e-06 0.000529716 5.81784e-07 -2.01983e-09 2.48665e-06 3.27914e-07 -0.000542895
 0.08 -74.9785 -2.02066e-09 2.81489e-06 0.000528621 6.13567e-07 -2.02066e-09 2.48694e-06 3.2795e-07 -0.000542876
 0.084 -74.9774 -2.02151e-09 2.81522e-06 0.000527532 6.45284e-07 -2.02151e-09 2.48723e-06 3.27987e-07 -0.000542857
 0.088 -74.9764 -2.02237e-09 2.81555e-06 0.000526451 6.76936e-07 -2.02237e-09 2.48752e-06 3.28024e-07 -0.000542838
 0.092 -74.9753 -2.02325e-09 2.81588e-06 0.000525379 7.08523e-07 -2.02325e-09 2.48782e-06 3.2806e-07 -0.000542818
 0.096 -74.9743 -2.02414e-09 2.81621e-06 0.000524317 7.40046e-07 -2.02414e-09 2.48811e-06 3.28097e-07 -0.000542799
 0.1 -74.9732 -2.02505e-09 2.81654e-06 0.000523265 7.71505e-07 -2.02505e-09 2.4884e-06 3.28134e-07 -0.00054278
 0.104 -74.9722 -2.02596e-09 2.81687e-06 0.000522224 8.02901e-07 -2.02596e-09 2.4887e-06 3.28171e-07 -0.000542761
 0.108 -74.9711 -2.02688e-09 2.8172e-06 0.000521193 8.34234e-07 -2.02688e-09 2.48899e-06 3.28207e-07 -0.000542742
 0.112 -74.9701 -2.02782e-09 2.81753e-06 0.000520174 8.65506e-07 -2.02782e-09 2.48929e-06 3.28244e-07 -0.000542723
 0.116 -74.9691 -2.02876e-09 2.81787e-06 0.000519166 8.96716e-07 -2.02876e-09 2.48959e-06 3.28281e-07 -0.000542704
 0.12 -74.968 -2.02971e-09 2.8182e-06 0.000518169 9.27866e-07 -2.02971e-09 2.48989e-06 3.28318e-07 -0.000542685
 0.124 -74.967 -2.03066e-09 2.81854e-06 0.000517183 9.58956e-07 -2.03066e-09 2.49018e-06 3.28355e-07 -0.000542666
 0.128 -74.966 -2.03162e-09 2.81888e-06 0.000516208 9.89987e-07 -2.03162e-09 2.49048e-06 3.28392e-07 -0.000542647
 0.132 -74.9649 -2.03259e-09 2.81921e-06 0.000515244 1.02096e-06 -2.03259e-09 2.49079e-06 3.28429e-07 -0.000542628
 0.136 -74.9639 -2.03356e-09 2.81955e-06 0.000514292 1.05187e-06 -2.03356e-09 2.49109e-06 3.28466e-07 -0.00054261
 0.14 -74.9629 -2.03454e-09 2.81989e-06 0.000513349 1.08273e-06 -2.03454e-09 2.49139e-06 3.28503e-07 -0.000542591
 0.144 -74.9619 -2.03552e-09 2.82023e-06 0.000512418 1.11353e-06 -2.03552e-09 2.49169e-06 3.2854e-07 -0.000542572
 0.148 -74.9608 -2.0365e-09 2.82057e-06 0.000511496 1.14428e-06 -2.0365e-09 2.492e-06 3.28577e-07 -0.000542553
